"Parameter","Mean","SD","Q2.5","Q97.5","ESS","Rhat","Rhat_upper"
"mu_nat_monitor[1849]",7.99504643742286,0.14534736077846,7.71108433196138,8.28246768617645,10833.5925249036,1.00034086932946,1.00081760445487
"mu_nat_monitor[185]",20.3756379301954,0.701430967125746,19.0173717559664,21.7726971046026,1188.65933537076,1.00653041637047,1.02011333376345
"mu_nat_monitor[1850]",7.99700726628314,0.145019823277405,7.71362190945531,8.28363529692008,10847.0960428644,1.00034020726458,1.0008163560149
"mu_nat_monitor[1851]",8.02079306278729,0.141200216770556,7.74355023845703,8.30018499840184,10893.4027546417,1.00033155686927,1.0007997063271
"mu_nat_monitor[1852]",8.03663111291663,0.138802816330201,7.76560359845076,8.31089807480487,11000.6875280282,1.0003251697937,1.00078709257423
"mu_nat_monitor[1853]",8.06531997224875,0.134726516085506,7.80308176669316,8.33176481929425,11201.8949767831,1.00031236274958,1.00076120187599
"mu_nat_monitor[1854]",8.08394790724791,0.132248309174487,7.8265101184488,8.34542209601631,11337.7854339956,1.00030323029298,1.00074235131206
"mu_nat_monitor[1855]",8.10781631089669,0.129251241984087,7.85520562957179,8.36352177051581,11518.3564326639,1.00029065455958,1.00071595585215
"mu_nat_monitor[1856]",8.15007447396871,0.124396971722202,7.90708984322919,8.39543215161225,11856.2655056031,1.00026627675053,1.00066352919552
"mu_nat_monitor[1857]",8.17310088490526,0.121977375823764,7.93536919555955,8.41407709463592,12049.9521998406,1.00025206737781,1.00063225029083
"mu_nat_monitor[1858]",8.20974964700191,0.118431557012986,7.97848441648534,8.44489205105888,12370.7545373656,1.00022853822466,1.00057926481089
"mu_nat_monitor[1859]",8.23734470713127,0.115996588625981,8.0107237610798,8.4676556107312,12620.7607338529,1.00021043687364,1.00053739958253
"mu_nat_monitor[186]",20.7569228766448,0.750828545465088,19.306710513257,22.2466770292346,1087.57285286699,1.0067756235549,1.0207856221835
"mu_nat_monitor[1860]",8.30517907403122,0.110814592151086,8.08902784530848,8.52581668507772,13251.4465680447,1.0001667885328,1.00043140820215
"mu_nat_monitor[1861]",8.35153097365651,0.107893698684126,8.14123480077186,8.56571836179943,13677.0467264647,1.00013980823004,1.00036057910279
"mu_nat_monitor[1862]",8.38439926465523,0.106111970228858,8.17698891353976,8.5950214155197,13816.5814365703,1.00012318183684,1.00031337465951
"mu_nat_monitor[1863]",8.43434812962288,0.103845735561467,8.23006673489231,8.64088147201203,14189.7260160379,1.0001033023378,1.00024953782135
"mu_nat_monitor[1864]",8.4825408944877,0.102143997126055,8.28146129604696,8.68485682788678,14469.1743320866,1.00009160438883,1.00020025755862
"mu_nat_monitor[1865]",8.52066734432038,0.101121043175213,8.32165242091522,8.72062128523179,14616.8716506219,1.00008822067874,1.0001718323023
"mu_nat_monitor[1866]",8.55416662850225,0.100448906523946,8.35699131053892,8.75312074358845,14684.2854288947,1.00008973510011,1.00015551116389
"mu_nat_monitor[1867]",8.60620384252818,0.099807378978519,8.41144226401054,8.80312642309209,14159.4861930284,1.00010037287196,1.00014730843096
"mu_nat_monitor[1868]",8.66477014755902,0.0996394037600011,8.4695832837076,8.86101541481591,11964.9263366174,1.00012363208851,1.00016354428052
"mu_nat_monitor[1869]",8.81327809816996,0.101554289977989,8.61740580933032,9.01474535889787,8143.57446990046,1.00022332465905,1.00031436692935
"mu_nat_monitor[187]",21.0919652677452,0.801950853908123,19.5459782870178,22.6864151486158,992.92732229029,1.0069254016393,1.02117421311491
"mu_nat_monitor[1870]",8.90705422153129,0.104234146002799,8.70647527665645,9.11513392341812,6585.72088101246,1.0003033452005,1.00047091482892
"mu_nat_monitor[1871]",9.09475171730447,0.112180603517422,8.87948238854263,9.32063128846584,4345.16174456973,1.00046972656372,1.00085248178438
"mu_nat_monitor[1872]",9.14336969165761,0.114674201037805,8.92422851387028,9.37438895079523,3994.74339754708,1.0005110503507,1.00095599082526
"mu_nat_monitor[1873]",9.37423030582616,0.128135386255628,9.13097957783455,9.63598770362788,2971.95615890638,1.000687981923,1.0014238059432
"mu_nat_monitor[1874]",9.47487306647912,0.134571167099512,9.22040271515341,9.75157445443391,2699.78429201191,1.0007542052892,1.00160470631621
"mu_nat_monitor[1875]",9.63646311785064,0.1452793646128,9.36237461165721,9.93681124424472,2467.40823185606,1.00084656095076,1.00185774721051
"mu_nat_monitor[1876]",9.88903869931145,0.162315996043927,9.58524432557696,10.2214078946181,2200.7838352317,1.00095732025758,1.0021573349483
"mu_nat_monitor[1877]",10.0298949758936,0.171708114270448,9.70853384239899,10.3815622024666,2120.72937678215,1.00100185120107,1.00227498842523
"mu_nat_monitor[1878]",10.1530374372869,0.179745970102649,9.81556836982964,10.5217303510877,2078.52717744615,1.00103095547074,1.00235030695299
"mu_nat_monitor[1879]",10.3687000111256,0.193263858128975,10.0057929008569,10.7654079422574,2054.2654241639,1.00106031970077,1.00242340360422
"mu_nat_monitor[188]",21.3477210270123,0.846435919320101,19.7109144207735,23.0242317439732,942.947371883609,1.00699797867434,1.02134227485672
"mu_nat_monitor[1880]",10.6075197707254,0.207174222272189,10.21758648614,11.0322818476241,2065.67508984566,1.00106131314765,1.00242161716388
"mu_nat_monitor[1881]",10.6650764077055,0.210336231532378,10.2691654876182,11.0948727839412,2067.38061909964,1.001056641895,1.0024087048603
"mu_nat_monitor[1882]",10.8624450420756,0.220571774738609,10.4447393631473,11.3121776832584,2158.93298797032,1.00102617531207,1.00232879162373
"mu_nat_monitor[1883]",11.1295689551135,0.232871091029293,10.6868101968058,11.6026007675424,2375.28899893943,1.00094937067774,1.00213567782216
"mu_nat_monitor[1884]",11.4288693686554,0.244567461371341,10.9614670948124,11.9266138547495,2805.84122512552,1.00081570797625,1.00181138388265
